,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
NVIDIA GPU,nvidia,52.5,10,7624,29,99.62,14,99.82,81.00,28,2,0.0729,1.0000,0.1359,7624,40,99.48,19,99.75,90.00,39,3,0.0744,1.0000,0.1385,7624,44,99.42,29,99.62,89.83,43,3,0.0697,1.0000,0.1303
NVIDIA GPU,nvidia,55,10,7624,29,99.62,14,99.82,81.00,28,2,0.0729,1.0000,0.1359,7624,40,99.48,19,99.75,90.00,39,3,0.0744,1.0000,0.1385,7624,44,99.42,29,99.62,89.83,43,3,0.0697,1.0000,0.1303
NVIDIA GPU,nvidia,57.5,10,7624,29,99.62,14,99.82,81.00,28,2,0.0729,1.0000,0.1359,7624,40,99.48,19,99.75,90.00,39,3,0.0744,1.0000,0.1385,7624,44,99.42,29,99.62,89.83,43,3,0.0697,1.0000,0.1303
NVIDIA GPU,nvidia,60,10,7624,29,99.62,14,99.82,81.00,28,2,0.0729,1.0000,0.1359,7624,40,99.48,19,99.75,90.00,39,3,0.0744,1.0000,0.1385,7624,44,99.42,29,99.62,89.83,43,3,0.0697,1.0000,0.1303
NVIDIA GPU,nvidia,62.5,10,7624,29,99.62,14,99.82,81.00,27,2,0.0756,1.0000,0.1405,7624,40,99.48,19,99.75,90.00,36,3,0.0806,1.0000,0.1491,7624,44,99.42,29,99.62,89.83,38,3,0.0797,1.0000,0.1476
NVIDIA GPU,nvidia,65,10,7624,29,99.62,14,99.82,81.00,27,2,0.0756,1.0000,0.1405,7624,40,99.48,19,99.75,90.00,36,3,0.0806,1.0000,0.1491,7624,44,99.42,29,99.62,89.83,38,3,0.0797,1.0000,0.1476
NVIDIA GPU,nvidia,67.5,10,7624,29,99.62,14,99.82,81.00,27,2,0.0756,1.0000,0.1405,7624,40,99.48,19,99.75,90.00,36,3,0.0806,1.0000,0.1491,7624,44,99.42,29,99.62,89.83,38,3,0.0797,1.0000,0.1476
NVIDIA GPU,nvidia,70,10,7624,29,99.62,14,99.82,81.00,27,2,0.0756,1.0000,0.1405,7624,40,99.48,19,99.75,90.00,36,3,0.0806,1.0000,0.1491,7624,44,99.42,29,99.62,89.83,38,3,0.0797,1.0000,0.1476
NVIDIA GPU,nvidia,72.5,10,7624,29,99.62,14,99.82,81.00,15,2,0.1369,1.0000,0.2405,7624,40,99.48,19,99.75,90.00,34,3,0.0851,1.0000,0.1569,7624,44,99.42,29,99.62,89.83,34,3,0.0882,1.0000,0.1621
NVIDIA GPU,nvidia,75,10,7624,29,99.62,14,99.82,81.00,15,2,0.1369,1.0000,0.2405,7624,40,99.48,19,99.75,90.00,34,3,0.0851,1.0000,0.1569,7624,44,99.42,29,99.62,89.83,34,3,0.0882,1.0000,0.1621
NVIDIA GPU,nvidia,77.5,10,7624,29,99.62,14,99.82,81.00,15,2,0.1369,1.0000,0.2405,7624,40,99.48,19,99.75,90.00,34,3,0.0851,1.0000,0.1569,7624,44,99.42,29,99.62,89.83,34,3,0.0882,1.0000,0.1621
